TIME,PLAKA,IL,NUTS3,StuQur,StaffDiy,Mosque,Pilgrimage,hedu,kurdpop,growth
2011,19,Corum,TR833,0.626288399,277.040956,241.8730288,0.625522118,7.19,3.89,9.403527719
2011,20,Denizli,TR322,0.38873878,147.408727,125.3345616,0.459422319,9.62,3.08,11.35133182
2011,21,Diyarbakir,TRC22,0.211274375,99.81266,112.0982747,0.315730641,6.48,72.78,9.922622381
2011,22,Edirne,TR212,0.513628304,124.212403,97.66701059,0.380706558,9.74,0.14,5.42970443
2011,23,Elazig,TRB12,0.426635825,202.486411,169.544325,0.579547107,9.22,43.15,8.023255628
2011,24,Erzincan,TRA12,0.562531065,284.284898,258.7364187,0.710058511,9.21,19.74,10.06550163
2011,25,Erzurum,TRA11,0.545433356,219.50523,193.8920173,0.509776587,8.79,16.22,8.395459435
2011,26,Eskisehir,TR412,0.373889436,129.280496,97.40837405,0.666497975,13.28,3.1,6.653127227
2011,27,Gaziantep,TRC11,0.291287161,63.355528,51.77931519,0.404903383,6.72,16.27057056,10.85893391
2011,28,Giresun,TR903,0.520383887,334.685743,339.6917268,0.726647226,8.43,0.26,6.202115734
2011,29,Gumushane,TR906,0.516717784,396.603563,385.2720323,0.636386781,8,2.07,14.04664977
2011,30,Hakkari,TRB24,0.274098433,146.602245,157.9923943,0.199069755,6.24,89.47,8.568726726
2011,31,Hatay,TR631,0.300090285,80.313494,64.50855807,0.206887866,7.67,5.48,8.430757642
2011,32,Isparta,TR612,0.830162069,238.787098,169.9716714,0.556921563,11.19,0.27,4.890786006
2011,33,Icel,TR622,0.323692893,95.08741,86.75377217,0.30958579,9.91,9.71,5.960831074
2011,34,Istanbul,TR100,0.265761613,40.259126,22.84898093,0.973427632,12.62,8.183416132,6.555821005
2011,35,Izmir,TR310,0.20533477,62.594068,44.9406239,0.338040755,13.11,6.91,8.948196325
2011,36,Kars,TRA22,0.207355562,150.120194,159.9319717,0.206205239,6.92,17.73223342,14.54832607
2011,37,Kastamonu,TR821,0.453914982,640.428731,707.9739492,0.524406698,7.13,0.25,8.409694777
2011,38,Kayseri,TR721,0.957263677,147.1304,101.2467449,0.90919344,10.27,4.56,7.198953701
2011,39,Kirklareli,TR213,0.350089212,109.053819,141.3878348,0.319013267,9.41,0.24,4.770685945
